Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code,Set Destination Trip
UberX,completed,2022-08-11T17:05:48.000Z,2022-08-11T17:13:19.000Z,2022-08-11T17:33:18.000Z,3.969280842,1199,1.87,35.17,0,USD,FALSE
UberX,completed,2022-08-11T16:19:40.000Z,2022-08-11T16:31:47.000Z,2022-08-11T17:06:06.000Z,8.283666232,2059,1.87,26.36,0,USD,FALSE
UberX,completed,2022-08-11T15:54:05.000Z,2022-08-11T16:02:55.000Z,2022-08-11T16:28:23.000Z,12.31190364249095,1528,1.87,37.09,0,USD,FALSE
UberX,completed,2022-08-11T14:52:05.000Z,2022-08-11T15:00:17.000Z,2022-08-11T15:57:38.000Z,17.48983506,3441,1.87,53.66,0,USD,FALSE
UberX,completed,2022-08-10T22:37:20.000Z,2022-08-10T22:47:00.000Z,2022-08-10T23:04:30.000Z,5.713580654,1050,1.87,15.64,0,USD,FALSE
UberX,completed,2022-08-10T22:11:48.000Z,2022-08-10T22:23:06.000Z,2022-08-10T22:44:30.000Z,9.331699091,1284,1.87,37.45,0,USD,FALSE
UberX,completed,2022-08-10T21:57:22.000Z,2022-08-10T22:06:12.000Z,2022-08-10T22:17:22.000Z,3.065644147,670,1.87,19.9,0,USD,FALSE
UberX,completed,2022-08-10T21:35:58.000Z,2022-08-10T21:45:09.000Z,2022-08-10T22:04:17.000Z,5.209216817,1148,1.87,15.57,0,USD,FALSE
UberX,completed,2022-08-10T21:10:27.000Z,2022-08-10T21:22:23.000Z,2022-08-10T21:41:07.000Z,5.736003942,1124,1.87,19.54,0,USD,FALSE
UberX,completed,2022-08-10T20:54:48.000Z,2022-08-10T21:06:00.000Z,2022-08-10T21:15:46.000Z,3.668305647,586,1.87,11.15,0,USD,FALSE
UberX,completed,2022-08-10T20:48:19.000Z,2022-08-10T20:52:14.000Z,2022-08-10T20:58:37.000Z,1.794235873,383,1.87,8.15,0,USD,FALSE
UberX,completed,2022-08-10T20:35:17.000Z,2022-08-10T20:38:55.000Z,2022-08-10T20:50:22.000Z,3.651401723,687,1.87,15.11,0,USD,FALSE
UberX,completed,2022-08-10T19:52:25.000Z,2022-08-10T19:58:52.000Z,2022-08-10T20:05:42.000Z,1.935726674,410,1.87,13.69,0,USD,TRUE
UberX,completed,2022-08-10T19:35:03.000Z,2022-08-10T19:42:02.000Z,2022-08-10T19:53:32.000Z,2.003383339,690,1.87,13.08,0,USD,TRUE
UberX,completed,2022-08-10T18:50:00.000Z,2022-08-10T18:59:38.000Z,2022-08-10T19:35:57.000Z,13.20849037636798,2179,1.87,32.33,0,USD,TRUE
UberX,completed,2022-08-10T18:04:57.000Z,2022-08-10T18:13:15.000Z,2022-08-10T18:54:09.000Z,14.24521968,2454,1.87,31.81,0,USD,TRUE
UberX,completed,2022-08-10T17:48:40.000Z,2022-08-10T18:02:46.000Z,2022-08-10T18:06:31.000Z,1.471833742,225,1.87,6.46,0,USD,FALSE
UberX,completed,2022-08-10T17:12:13.000Z,2022-08-10T17:23:02.000Z,2022-08-10T17:52:40.000Z,18.45942243242627,1778,1.87,34.44,0,USD,FALSE
UberX,completed,2022-08-10T16:42:16.000Z,2022-08-10T16:50:48.000Z,2022-08-10T17:13:10.000Z,15.16094996024993,1342,1.87,33.15,0,USD,FALSE
UberX,completed,2022-08-08T22:18:45.000Z,2022-08-08T22:25:48.000Z,2022-08-08T22:36:14.000Z,3.138083332,626,1.87,12.02,0,USD,TRUE
UberX,completed,2022-08-08T21:31:28.000Z,2022-08-08T21:54:36.000Z,2022-08-08T22:10:53.000Z,11.61560410939514,977,1.87,23.25,0,USD,TRUE
UberX,completed,2022-08-08T21:25:57.000Z,2022-08-08T21:33:11.000Z,2022-08-08T21:41:50.000Z,1.708769868,519,1.87,13.74,0,USD,FALSE
UberX,completed,2022-08-08T20:58:16.000Z,2022-08-08T21:06:58.000Z,2022-08-08T21:29:01.000Z,17.08087330563122,1323,1.87,40.16,0,USD,FALSE
UberX,completed,2022-08-08T20:29:39.000Z,2022-08-08T20:31:49.000Z,2022-08-08T20:46:19.000Z,5.342691052,870,1.87,28.11,0,USD,FALSE
UberX,completed,2022-08-08T18:06:36.000Z,2022-08-08T18:14:37.000Z,2022-08-08T18:31:32.000Z,9.543618437,1015,1.87,34.17,0,USD,FALSE
UberX,completed,2022-08-08T17:07:01.000Z,2022-08-08T17:13:45.000Z,2022-08-08T17:59:55.000Z,19.34979468765207,2770,1.87,50.69,0,USD,FALSE
UberX,completed,2022-08-08T16:35:49.000Z,2022-08-08T16:40:33.000Z,2022-08-08T16:57:43.000Z,5.015650465,1030,1.87,28.31,0,USD,FALSE
UberX,completed,2022-08-08T15:12:29.000Z,2022-08-08T15:15:58.000Z,2022-08-08T16:29:33.000Z,17.87813200413763,4415,1.87,74.08,0,USD,FALSE
UberX,completed,2022-08-08T14:47:15.000Z,2022-08-08T14:49:48.000Z,2022-08-08T15:05:28.000Z,4.637555665,940,1.87,32.93,0,USD,FALSE
UberX,completed,2022-08-07T20:31:40.000Z,2022-08-07T20:38:31.000Z,2022-08-07T20:50:12.000Z,2.698965469,701,1.87,10.65,0,USD,TRUE
